IP地址,端口,IP段,大洲,国家,城市
45.85.93.21,443,45.85.93.0/24,EU,CH,Geneva
38.180.15.197,2053,38.180.15.0/24,EU,CH,Bern
179.43.156.113,13338,179.43.128.0/18,EU,CH,Rümlang
179.43.190.20,8443,179.43.128.0/18,EU,CH,Rümlang
94.131.3.123,2053,94.131.2.0/23,EU,CH,Bern
103.115.44.87,49322,103.115.40.0/21,AS,CN,N/A
103.115.44.87,49323,103.115.40.0/21,AS,CN,N/A
185.106.103.168,443,185.106.100.0/22,EU,CY,N/A
91.223.208.217,443,91.223.208.0/24,EU,CY,N/A
94.156.35.144,18836,94.156.35.0/24,EU,CY,N/A
194.58.39.80,443,194.58.38.0/23,EU,CZ,N/A
194.87.190.57,2053,194.87.190.0/24,EU,CZ,N/A
81.91.214.85,443,81.91.208.0/20,EU,CZ,Ostrava
194.87.190.57,8443,194.87.190.0/24,EU,CZ,N/A
81.91.214.162,443,81.91.208.0/20,EU,CZ,Ostrava
195.133.64.185,443,195.133.64.0/23,EU,CZ,N/A
38.180.48.228,443,38.180.48.0/23,EU,CZ,Prague
157.230.127.100,8443,157.230.0.0/16,EU,DE,Frankfurt am Main
147.45.197.119,443,147.45.196.0/23,EU,DE,Frankfurt am Main
18.156.21.22,443,18.156.0.0/14,EU,DE,Frankfurt am Main
194.76.173.201,2053,194.76.173.0/24,EU,DE,Limburg an der Lahn
89.117.57.4,2053,89.117.48.0/20,EU,DE,Düsseldorf
212.192.31.239,443,212.192.31.0/24,EU,DE,Frankfurt am Main
162.55.217.158,443,162.55.0.0/16,EU,DE,Nuremberg
85.192.63.147,8443,85.192.63.0/24,EU,DE,Frankfurt am Main
116.203.83.121,2053,116.202.0.0/15,EU,DE,Nuremberg
109.120.138.154,2053,109.120.138.0/23,EU,DE,Frankfurt am Main
77.91.73.211,2053,77.91.72.0/22,EU,DE,Frankfurt am Main
57.129.5.108,8443,57.128.0.0/15,EU,DE,Frankfurt am Main
51.195.46.211,2053,51.195.0.0/16,EU,DE,N/A
89.169.53.131,2053,89.169.52.0/22,EU,DE,Frankfurt am Main
109.237.97.1,443,109.237.97.0/24,EU,DE,Frankfurt am Main
185.78.76.63,2053,185.78.76.0/24,EU,DE,Frankfurt am Main
148.251.157.127,443,148.251.0.0/16,EU,DE,Falkenstein
18.198.227.161,443,18.192.0.0/13,EU,DE,Frankfurt am Main
77.221.157.32,443,77.221.152.0/21,EU,DE,Frankfurt am Main
195.206.242.236,2053,195.206.242.0/24,EU,DE,N/A
77.91.77.167,443,77.91.76.0/23,EU,DE,Frankfurt am Main
57.129.47.203,443,57.128.0.0/15,EU,DE,Frankfurt am Main
57.129.40.135,443,57.128.0.0/15,EU,DE,Frankfurt am Main
51.195.44.192,8443,51.195.0.0/16,EU,DE,N/A
49.12.210.182,443,49.12.0.0/15,EU,DE,Falkenstein
139.162.133.162,25351,139.162.0.0/16,EU,DE,Frankfurt am Main
77.221.157.242,2053,77.221.152.0/21,EU,DE,Frankfurt am Main
77.81.138.48,2053,77.81.138.0/24,EU,DE,Limburg an der Lahn
116.203.58.165,443,116.202.0.0/15,EU,DE,Nuremberg
37.1.199.185,443,37.1.192.0/21,EU,DE,N/A
195.206.242.143,8443,195.206.242.0/24,EU,DE,N/A
3.68.62.122,443,3.64.0.0/12,EU,DE,Frankfurt am Main
91.107.203.198,49191,91.107.128.0/17,EU,DE,Falkenstein
217.160.216.30,443,217.160.0.0/16,EU,DE,N/A
67.207.73.198,443,67.207.72.0/21,EU,DE,Frankfurt am Main
79.133.46.166,443,79.133.44.0/22,EU,DE,N/A
139.162.133.162,31956,139.162.0.0/16,EU,DE,Frankfurt am Main
18.184.27.249,443,18.176.0.0/12,EU,DE,Frankfurt am Main
57.129.5.105,2053,57.128.0.0/15,EU,DE,Frankfurt am Main
194.76.173.173,2053,194.76.173.0/24,EU,DE,Limburg an der Lahn
194.76.173.58,2053,194.76.173.0/24,EU,DE,Limburg an der Lahn
91.107.166.26,8888,91.107.128.0/17,EU,DE,Falkenstein
94.228.168.229,2053,94.228.168.0/23,EU,DE,Frankfurt am Main
139.162.190.125,2053,139.162.0.0/16,EU,DE,Frankfurt am Main
139.162.133.162,15675,139.162.0.0/16,EU,DE,Frankfurt am Main
23.88.88.104,443,23.88.0.0/17,EU,DE,Nuremberg
5.61.34.109,443,5.61.32.0/20,EU,DE,N/A
207.154.242.53,443,207.154.192.0/18,EU,DE,Frankfurt am Main
138.68.71.73,2053,138.68.64.0/18,EU,DE,Frankfurt am Main
37.120.186.205,2087,37.120.184.0/21,EU,DE,Nuremberg
194.39.204.118,65535,194.39.204.0/22,EU,DE,Munich
18.185.254.189,443,18.176.0.0/12,EU,DE,Frankfurt am Main
88.198.156.62,2053,88.198.0.0/16,EU,DE,Nuremberg
129.159.241.172,443,129.159.0.0/16,EU,DE,Frankfurt am Main
31.24.253.150,2053,31.24.253.0/24,EU,DE,Limburg an der Lahn
185.106.93.16,8443,185.106.93.0/24,EU,DE,Frankfurt am Main
185.254.97.252,2013,185.254.96.0/22,EU,DE,Frankfurt am Main
31.172.71.51,444,31.172.70.0/23,EU,DE,Frankfurt am Main
188.245.74.27,44918,188.245.0.0/16,EU,DE,Nuremberg
51.75.70.31,8443,51.75.0.0/16,EU,DE,N/A
185.106.93.235,8443,185.106.93.0/24,EU,DE,Frankfurt am Main
77.221.157.252,8443,77.221.152.0/21,EU,DE,Frankfurt am Main
150.230.146.170,2053,150.230.128.0/17,EU,DE,Frankfurt am Main
94.23.167.32,8443,94.23.0.0/16,EU,DE,Saarbrücken
31.172.72.83,443,31.172.72.0/23,EU,DE,Frankfurt am Main
89.208.96.93,2053,89.208.96.0/23,EU,DE,Frankfurt am Main
128.140.8.129,50000,128.140.0.0/17,EU,DE,Nuremberg
89.169.55.40,2053,89.169.52.0/22,EU,DE,Frankfurt am Main
89.169.55.60,443,89.169.52.0/22,EU,DE,Frankfurt am Main
128.140.8.129,50121,128.140.0.0/17,EU,DE,Nuremberg
5.75.206.217,8443,5.75.128.0/17,EU,DE,Nuremberg
